StockCode,Description,UnitPrice,Category,Supplier,Brand,LaunchDate,ReorderLevel
15060B,FAIRY CAKE DESIGN UMBRELLA,8.29,Misc,Zavala Inc,Foreign,2024-02-20,83
15060B,FAIRY CAKE DESIGN UMBRELLA,8.47,Misc,"Page, Smith and Gould",Kind,2024-09-15,136
15060b,FAIRY CAKE DESIGN UMBRELLA,8.29,Misc,Wright-Nunez,Commercial,2023-01-21,171
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.08,Misc,Boyd-Green,Its,2024-11-13,194
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.25,Misc,Haynes Inc,Single,2023-06-30,69
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,Misc,"Pace, Wu and Johnson",Special,2024-11-29,149
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,Misc,"Poole, Benjamin and Booker",Policy,2023-01-14,133
16011,ANIMAL STICKERS,0.21,Misc,"Brown, Spears and Harvey",Summer,2025-02-12,55
16012,FOOD/DRINK SPONGE STICKERS,0.21,Misc,Ramsey-Wright,Health,2023-05-21,49
16014,SMALL CHINESE STYLE SCISSOR,0.42,Misc,"Johnson, Ramirez and Parks",Mention,2022-12-05,147
16014,SMALL CHINESE STYLE SCISSOR,0.32,Misc,"Franklin, Le and Graham",If,2024-02-02,123
16015,MEDIUM CHINESE STYLE SCISSOR,0.5,Misc,Brown-Alexander,Stay,2025-10-18,106
16015,MEDIUM CHINESE STYLE SCISSOR,0.36,Misc,Williamson Group,Carry,2025-10-19,128
16016,LARGE CHINESE STYLE SCISSOR,0.72,Misc,Compton Inc,Try,2024-02-17,21
16016,LARGE CHINESE STYLE SCISSOR,0.85,Misc,Miller-Mills,Step,2023-03-14,12
16020C,CLEAR STATIONERY BOX SET ,0.85,Misc,"Scott, Patel and Davis",Deal,2023-12-02,44
16020C,CLEAR STATIONERY BOX SET ,0.83,Misc,Gonzalez PLC,Big,2023-10-01,126
16033,MINI HIGHLIGHTER PENS,0.12,Lighting,Frazier LLC,Particular,2025-07-03,59
16043,POP ART PUSH DOWN RUBBER ,0.12,Misc,Norman Group,Call,2024-08-09,15
16045,POPART WOODEN PENCILS ASST,0.04,Misc,Stevens LLC,Democrat,2023-07-11,75
16045,POPART WOODEN PENCILS ASST,0.12,Misc,Barnett-Wiggins,Someone,2024-05-25,100
16046,TEATIME PEN CASE & PENS,0.85,Kitchen,"White, Rogers and Oconnor",Around,2025-07-10,185
16048,TEATIME ROUND PENCIL SHARPENER ,0.85,Kitchen,Jackson-Wilson,Become,2023-05-30,79
16048,TEATIME ROUND PENCIL SHARPENER ,0.42,Kitchen,Cooper-Richardson,But,2025-08-29,121
16048,TEATIME ROUND PENCIL SHARPENER ,0.83,Kitchen,Santiago Inc,Respond,2024-06-04,172
16048,TEATIME ROUND PENCIL SHARPENER ,0.12,Kitchen,"Herman, Davila and Mckee",Ball,2024-08-20,117
16049,TEATIME GEL PENS ASST,0.42,Kitchen,"Butler, Harrell and Spence",Nearly,2025-02-17,10
16049,TEATIME GEL PENS ASST,0.12,Kitchen,Dunn-Wallace,Miss,2024-07-26,37
16052,TEATIME PUSH DOWN RUBBER,0.19,Kitchen,Miller-Walker,Way,2025-01-07,168
16052,TEATIME PUSH DOWN RUBBER,0.83,Kitchen,"Newton, Rogers and Garcia",Save,2022-12-22,26
16052,TEATIME PUSH DOWN RUBBER,0.42,Kitchen,Barrett-Simmons,Staff,2022-11-19,140
16052,TEATIME PUSH DOWN RUBBER,0.84,Kitchen,Robinson Group,Generation,2023-08-22,100
16054,POPART RECT PENCIL SHARPENER ASST,0.42,Misc,"Warren, Kennedy and Orozco",Series,2023-09-25,191
16054,POPART RECT PENCIL SHARPENER ASST,0.12,Misc,Gutierrez-French,Staff,2025-03-28,32
16151A,FLOWERS HANDBAG blue and orange,1.25,Misc,Taylor PLC,Everybody,2024-05-15,31
16156L,"WRAP, CAROUSEL",0.42,Misc,Rivers-Cox,Decision,2023-06-15,120
16156L,WRAP CAROUSEL,0.42,Misc,Dawson-Taylor,Executive,2024-12-07,12
16156S,WRAP PINK FAIRY CAKES ,0.42,Misc,"Green, Fields and Paul",Pick,2024-05-20,147
16156S,WRAP PINK FAIRY CAKES ,0.36,Misc,Sosa-Rich,Bad,2024-05-03,106
16156S,WRAP PINK FAIRY CAKES ,0.34,Misc,Gallegos and Sons,Under,2024-02-17,28
16161G,WRAP BAD HAIR DAY,0.1,Misc,"Matthews, Morgan and Perry",Money,2023-03-04,149
16161M,WRAP  PINK FLOCK,0.42,Misc,"Taylor, Casey and Smith",Really,2022-11-03,187
16161P,WRAP ENGLISH ROSE ,0.42,Misc,"Harris, Smith and Humphrey",And,2023-07-27,172
16161P,WRAP ENGLISH ROSE ,0.36,Misc,"Estrada, Mason and Robles",Quality,2024-12-06,113
16161P,WRAP ENGLISH ROSE ,0.34,Misc,Richardson-Nelson,Difference,2024-01-24,17
16161U,WRAP SUKI AND FRIENDS,0.36,Misc,Le-Hall,Skin,2023-07-07,92
16161U,WRAP SUKI AND FRIENDS,0.42,Misc,"Glenn, Phillips and White",None,2023-05-20,77
16162L,THE KING GIFT BAG,0.65,Misc,Morris Group,Himself,2024-12-20,130
16162M,THE KING GIFT BAG 25x24x12cm,0.42,Misc,Oconnell PLC,Church,2023-06-13,18
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.83,Misc,Daugherty-West,Hold,2025-02-24,153
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.42,Misc,Taylor-Johnson,Sister,2024-05-29,95
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.85,Misc,Munoz Group,Care,2023-03-26,116
16169E,WRAP 50'S  CHRISTMAS,0.42,Misc,"Townsend, Butler and Clark",Little,2025-10-07,99
16169E,WRAP 50'S  CHRISTMAS,0.36,Misc,"Mahoney, Santiago and Adams",Guess,2025-06-24,16
16169K,WRAP FOLK ART,0.42,Misc,Nash-Orozco,Rule,2025-09-12,173
16169M,WRAP DAISY CARPET ,0.42,Misc,Smith-Mason,Into,2023-11-20,172
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,Misc,"Gonzalez, Garcia and Ortiz",Attack,2022-11-22,51
16169P,WRAP GREEN RUSSIAN FOLKART ,0.42,Misc,Keith Ltd,Wrong,2024-05-20,117
16202A,PASTEL PINK PHOTO ALBUM ,0.5,Misc,Gardner-Stuart,According,2024-06-14,26
16202B,PASTEL BLUE PHOTO ALBUM ,0.5,Misc,Johnson and Sons,Especially,2022-12-29,193
16202E,BLACK PHOTO ALBUM ,0.5,Misc,Moreno Inc,Summer,2024-04-26,183
16202E,BLACK PHOTO ALBUM ,5.55,Misc,Collins Inc,Happy,2023-11-24,46
16206B,RED PURSE WITH PINK HEART,1.25,Home Decor,Kelly and Sons,When,2024-09-05,105
16207A,PINK STRAWBERRY HANDBAG ,2.46,Misc,Romero-Torres,Ground,2024-01-09,181
16207A,PINK STRAWBERRY HANDBAG ,2.95,Misc,Short Ltd,North,2023-08-10,70
16207A,PINK STRAWBERRY HANDBAG ,3.29,Misc,Hall-Sloan,Argue,2024-03-12,200
16207B,PINK HEART RED HANDBAG,5.79,Home Decor,Jensen-Smith,Else,2024-05-01,30
16207B,PINK HEART RED HANDBAG,2.46,Home Decor,"Duncan, Bernard and Watson",Create,2023-03-02,170
16207B,PINK HEART RED HANDBAG,2.95,Home Decor,Miller-Li,Several,2024-09-29,24
16216,LETTER SHAPE PENCIL SHARPENER,0.12,Misc,Roberts Inc,Yes,2025-08-05,142
16216,LETTER SHAPE PENCIL SHARPENER,0.42,Misc,Foster-Johnson,Blood,2023-07-15,109
16216,LETTER SHAPE PENCIL SHARPENER,0.16,Misc,Williams Ltd,Issue,2024-10-14,147
16216,LETTER SHAPE PENCIL SHARPENER,0.06,Misc,Donaldson-Campos,Outside,2025-04-17,88
16216,LETTER SHAPE PENCIL SHARPENER,1.25,Misc,"Brooks, Golden and Vazquez",Compare,2024-05-18,47
16218,CARTOON  PENCIL SHARPENERS,0.12,Misc,"Reese, Sanchez and Mendoza",Where,2023-11-23,177
16218,CARTOON  PENCIL SHARPENERS,0.16,Misc,"Rodriguez, Li and Evans",Age,2023-02-26,84
16218,CARTOON  PENCIL SHARPENERS,2.08,Misc,"Hendrix, Henry and Thompson",Process,2024-04-11,109
16218,CARTOON  PENCIL SHARPENERS,2.13,Misc,Steele Inc,Sea,2025-02-03,104
16218,CARTOON  PENCIL SHARPENERS,0.42,Misc,"Smith, Foster and Thomas",Rather,2024-08-02,42
16218,CARTOON  PENCIL SHARPENERS,0.06,Misc,Cannon LLC,Almost,2024-10-12,146
16219,HOUSE SHAPE PENCIL SHARPENER,0.83,Misc,Vazquez PLC,Occur,2024-02-02,96
16219,HOUSE SHAPE PENCIL SHARPENER,0.21,Misc,Lee PLC,Page,2024-05-03,142
16219,HOUSE SHAPE PENCIL SHARPENER,0.06,Misc,Nelson Group,Any,2024-10-28,40
16219,HOUSE SHAPE PENCIL SHARPENER,1.67,Misc,Campbell-Martinez,Experience,2023-03-29,171
16219,HOUSE SHAPE PENCIL SHARPENER,1.7,Misc,"Hansen, King and Hampton",Then,2024-04-13,52
16219,HOUSE SHAPE PENCIL SHARPENER,0.16,Misc,Thompson-Crawford,Relate,2024-02-08,160
16225,RATTLE SNAKE EGGS,3.29,Misc,"Wilkerson, Jones and Kelly",Without,2024-05-03,108
16225,RATTLE SNAKE EGGS,1.25,Misc,Marsh-Vincent,Door,2025-07-29,120
16225,RATTLE SNAKE EGGS,0.39,Misc,"Frye, Hernandez and Moore",Ground,2025-06-21,25
16225,RATTLE SNAKE EGGS,3.36,Misc,Miller Group,Cause,2023-01-03,199
16225,RATTLE SNAKE EGGS,0.83,Misc,"Kirby, Weber and Smith",So,2024-09-17,44
16225,RATTLE SNAKE EGGS,0.85,Misc,Powers Group,Later,2025-07-27,126
16225,RATTLE SNAKE EGGS,1.06,Misc,"Oliver, Sosa and Harris",Hospital,2024-10-23,181
16225,RATTLE SNAKE EGGS,0.42,Misc,Smith and Sons,Against,2024-04-17,15
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21,Misc,Bell Ltd,American,2024-09-30,99
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.16,Misc,Wood-Roy,Analysis,2024-10-16,125
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.43,Misc,Clark LLC,Raise,2023-06-03,199
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.42,Misc,Barber Inc,Suffer,2025-07-22,199
16236,KITTY PENCIL ERASERS,0.21,Misc,Perkins-Warren,The,2023-12-20,194
16236,KITTY PENCIL ERASERS,0.42,Misc,Martin and Sons,Season,2025-05-21,192
16236,KITTY PENCIL ERASERS,0.43,Misc,Barrett-Rodriguez,Study,2023-09-24,181
16236,KITTY PENCIL ERASERS,0.16,Misc,Lynn-Torres,Bit,2025-05-22,125
16237,SLEEPING CAT ERASERS,0.16,Misc,White PLC,His,2024-06-02,87
16237,SLEEPING CAT ERASERS,0.43,Misc,Leonard-Ramos,Charge,2023-04-20,119
16237,SLEEPING CAT ERASERS,0.42,Misc,"Ellis, Koch and Boyd",Risk,2023-06-10,17
16237,SLEEPING CAT ERASERS,0.21,Misc,"Green, Smith and Scott",For,2025-05-04,50
16238,PARTY TIME PENCIL ERASERS,0.21,Misc,"Nichols, Pearson and Parker",Walk,2024-12-30,143
16238,PARTY TIME PENCIL ERASERS,0.43,Misc,James-Harding,For,2023-04-17,93
16238,PARTY TIME PENCIL ERASERS,0.16,Misc,"Williams, Charles and Stevens",Government,2025-03-22,142
16238,PARTY TIME PENCIL ERASERS,0.42,Misc,"Jackson, Conley and Oconnor",Challenge,2025-04-13,141
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0.5,Misc,"Lester, Vance and Keller",Crime,2025-01-05,152
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.95,Misc,Hoover-Martin,Person,2024-05-23,45
16248B,BLUE HOLE PUNCH,1.25,Misc,"Davis, Young and Mcintyre",Data,2024-06-16,97
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.63,Misc,Parker-Jones,Raise,2023-11-03,138
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0.85,Misc,Summers-Barnett,Range,2024-01-10,36
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,Misc,"Weaver, Kramer and Holloway",Similar,2024-07-05,149
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.83,Misc,Marquez-Kirk,Reflect,2024-05-05,195
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.19,Misc,Lee LLC,Establish,2023-02-18,104
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.84,Misc,Brown PLC,Environmental,2023-10-08,67
16259,PIECE OF CAMO STATIONERY SET,0.08,Misc,"Taylor, Hendrix and Delacruz",Process,2024-02-03,155
16259,PIECE OF CAMO STATIONERY SET,0.21,Misc,Hobbs LLC,Keep,2025-01-02,97
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,Misc,"Benson, Lucas and King",Natural,2023-11-28,33
17003,BROCADE RING PURSE ,0.25,Misc,"Ewing, Ferguson and Dennis",Himself,2024-05-01,79
17003,BROCADE RING PURSE ,0.29,Misc,Thomas LLC,The,2024-08-10,139
17003,BROCADE RING PURSE ,57.6,Misc,"Martin, Jackson and Foster",Picture,2023-05-14,72
17003,BROCADE RING PURSE ,0.32,Misc,"Flores, Dawson and Bush",Republican,2024-01-03,62
17003,BROCADE RING PURSE ,0.39,Misc,Brown and Sons,However,2022-12-11,92
17003,BROCADE RING PURSE ,0.43,Misc,"Moore, Gates and Hernandez",Land,2025-08-13,77
17003,BROCADE RING PURSE ,0.21,Misc,Barron Ltd,Present,2024-01-09,111
17003,BROCADE RING PURSE ,0.16,Misc,Patterson Group,Structure,2023-02-16,21
17003,BROCADE RING PURSE ,0.63,Misc,Mcdonald-Bruce,Present,2024-05-16,138
17003,BROCADE RING PURSE ,0.83,Misc,Bates-Schaefer,Claim,2023-02-25,30
17003,BROCADE RING PURSE ,0.42,Misc,"Schneider, Richards and Wolfe",Prepare,2023-06-16,60
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,Home Decor,Lopez-Carpenter,Fill,2025-10-18,139
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,4.21,Misc,Malone Ltd,Establish,2022-12-08,61
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2.1,Misc,"Harris, Goodman and Owens",Rule,2025-02-23,14
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.65,Misc,"Nelson, May and Dunlap",Young,2023-08-05,59
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,2.55,Misc,Watson Ltd,Book,2025-10-14,78
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,0.85,Misc,Moore-Poole,Your,2025-05-25,154
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,2.51,Misc,Booth-Page,Than,2023-12-09,69
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,2.46,Misc,"Bauer, Anderson and Brown",While,2023-08-23,31
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,0.5,Misc,"Peters, Nielsen and Hill",Need,2023-05-28,163
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.46,Misc,Gilbert Group,Bank,2025-04-20,91
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,0.5,Misc,Mcdowell-Daniels,Show,2023-09-26,31
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,0.85,Misc,"Ramos, Kane and Fisher",Anything,2024-01-14,97
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.51,Misc,"Johnson, Simpson and Alvarez",Term,2025-08-10,151
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.55,Misc,Ramirez Ltd,Choice,2025-07-03,147
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,0.85,Misc,Parrish-Hamilton,Culture,2024-06-27,44
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2.51,Misc,Smith Ltd,Image,2023-11-14,146
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2.55,Misc,"Jones, Bradley and Dunn",Major,2024-05-02,44
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,0.5,Misc,"Diaz, Farrell and Zamora",Ability,2024-02-10,133
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2.46,Misc,"Foster, Cunningham and Robinson",Financial,2023-11-18,136
