Date,Country,PageViews,UniqueVisitors,AvgSessionDuration
2010-12-01,United Kingdom,2137,1582,1.02
2010-12-01,United Kingdom,2146,1535,1.3
2010-12-01,United Kingdom,1940,1131,4.28
2010-12-01,United Kingdom,1590,1056,1.21
2010-12-01,United Kingdom,2015,878,3.34
2010-12-01,United Kingdom,2225,1209,4.35
2010-12-01,United Kingdom,2125,1049,2.51
2010-12-01,United Kingdom,164,109,1.31
2010-12-01,United Kingdom,2211,1238,3.75
2010-12-01,United Kingdom,1542,1119,1.2
2010-12-01,United Kingdom,3171,1633,1.44
2010-12-02,United Kingdom,2218,1590,3.75
2010-12-02,United Kingdom,418,310,3.99
2010-12-02,United Kingdom,664,335,2.47
2010-12-02,United Kingdom,2262,1471,3.96
2010-12-02,United Kingdom,1425,1069,3.11
2010-12-02,United Kingdom,780,313,2.23
2010-12-02,United Kingdom,2491,1752,3.26
2010-12-02,United Kingdom,2618,1686,2.56
2010-12-02,United Kingdom,2113,933,3.09
2010-12-02,United Kingdom,1485,971,1.25
2010-12-02,United Kingdom,967,466,2.25
2010-12-02,United Kingdom,1614,1220,4.44
2010-12-02,United Kingdom,857,398,1.09
2010-12-02,United Kingdom,1318,1002,3.35
2010-12-02,United Kingdom,151,107,2.28
2010-12-02,United Kingdom,4288,2752,1.95
2010-12-02,United Kingdom,3548,2686,1.26
2010-12-02,United Kingdom,2074,937,2.44
2010-12-02,United Kingdom,1714,1111,2.82
2010-12-02,United Kingdom,1119,687,4.41
2010-12-02,United Kingdom,1366,726,3.8
2010-12-02,Germany,622,412,2.54
2010-12-02,United Kingdom,466,230,1.33
2010-12-02,United Kingdom,1779,1257,3.93
2010-12-02,United Kingdom,1740,1265,4.1
2010-12-02,United Kingdom,743,540,1.46
2010-12-02,United Kingdom,2428,971,1.73
2010-12-02,United Kingdom,2753,1243,3.97
2010-12-02,United Kingdom,766,359,1.93
2010-12-02,United Kingdom,2316,1693,1.23
2010-12-02,United Kingdom,2945,1206,3.77
2010-12-02,United Kingdom,685,448,2.9
2010-12-02,United Kingdom,2142,1017,2.09
2010-12-02,United Kingdom,353,188,1.08
2010-12-02,United Kingdom,694,317,2.0
2010-12-02,United Kingdom,2319,1389,2.48
2010-12-02,United Kingdom,1296,967,3.8
2010-12-02,United Kingdom,2172,1346,4.14
2010-12-02,United Kingdom,2475,1052,3.02
2010-12-02,United Kingdom,1883,1368,2.52
2010-12-02,United Kingdom,2465,1513,2.28
2010-12-02,United Kingdom,2998,1306,1.15
2010-12-02,United Kingdom,958,588,2.09
2010-12-02,United Kingdom,2676,1237,3.25
2010-12-02,United Kingdom,1733,761,3.5
2010-12-02,United Kingdom,2246,1691,3.15
2010-12-02,United Kingdom,281,149,1.64
2010-12-02,United Kingdom,315,208,1.36
2010-12-02,United Kingdom,100,41,1.53
2010-12-02,United Kingdom,1641,1119,3.04
2010-12-02,United Kingdom,1091,595,2.47
2010-12-02,United Kingdom,1431,677,2.85
2010-12-02,United Kingdom,2320,1541,2.92
2010-12-02,United Kingdom,3318,2508,3.11
2010-12-02,United Kingdom,1400,640,3.66
2010-12-02,United Kingdom,2516,1463,3.29
2010-12-02,United Kingdom,1123,730,3.9
2010-12-02,United Kingdom,735,531,2.63
2010-12-02,United Kingdom,1599,1053,1.99
2010-12-02,United Kingdom,501,317,3.75
2010-12-02,United Kingdom,1253,670,1.59
2010-12-02,United Kingdom,749,446,2.3
2010-12-02,United Kingdom,2251,1279,1.62
2010-12-02,United Kingdom,2426,1041,3.01
2010-12-02,United Kingdom,2215,1750,2.77
2010-12-02,United Kingdom,1185,705,2.84
2010-12-02,United Kingdom,178,87,3.19
2010-12-02,United Kingdom,786,609,3.21
2010-12-02,United Kingdom,1385,784,4.16
2010-12-02,United Kingdom,1678,897,2.68
2010-12-02,United Kingdom,100,49,3.55
2010-12-02,United Kingdom,2160,1478,1.5
2010-12-02,United Kingdom,467,361,1.49
2010-12-02,United Kingdom,1670,1126,3.61
2010-12-02,United Kingdom,1046,493,2.95
2010-12-02,United Kingdom,1512,715,4.44
2010-12-02,United Kingdom,3476,2085,1.02
2010-12-02,United Kingdom,1914,1283,3.23
2010-12-02,United Kingdom,2116,1036,2.49
2010-12-02,United Kingdom,2025,1068,3.23
2010-12-02,United Kingdom,763,569,3.44
2010-12-02,United Kingdom,2359,957,1.13
2010-12-02,United Kingdom,1393,1098,2.28
2010-12-02,United Kingdom,1876,1161,3.36
2010-12-02,United Kingdom,100,62,3.55
2010-12-02,United Kingdom,2040,1359,1.11
2010-12-02,United Kingdom,391,176,2.57
2010-12-02,United Kingdom,2110,1205,3.93
2010-12-02,United Kingdom,105,56,3.27
2010-12-02,United Kingdom,2905,1576,2.09
2010-12-02,United Kingdom,2906,1245,1.72
2010-12-02,United Kingdom,2478,1959,1.04
2010-12-02,United Kingdom,1797,1068,2.47
2010-12-02,United Kingdom,1417,673,2.22
2010-12-02,United Kingdom,1220,648,2.45
2010-12-02,United Kingdom,698,379,4.28
2010-12-02,United Kingdom,1558,687,1.9
2010-12-02,United Kingdom,1228,584,4.03
2010-12-02,United Kingdom,782,444,3.26
2010-12-02,United Kingdom,3120,1793,2.57
2010-12-02,United Kingdom,628,261,1.18
2010-12-02,United Kingdom,3283,1828,3.92
2010-12-02,United Kingdom,743,514,2.29
2010-12-02,United Kingdom,2506,1123,2.56
2010-12-02,United Kingdom,1921,1152,1.12
2010-12-02,United Kingdom,1685,1147,1.53
2010-12-02,United Kingdom,2131,1368,2.26
2010-12-02,United Kingdom,100,64,3.93
2010-12-02,United Kingdom,1156,558,1.84
2010-12-02,EIRE,940,493,3.72
2010-12-02,United Kingdom,1585,758,2.69
2010-12-02,United Kingdom,954,558,4.19
2010-12-02,United Kingdom,2481,1425,4.2
2010-12-02,United Kingdom,2202,1291,1.34
2010-12-02,United Kingdom,1882,1408,3.96
2010-12-02,United Kingdom,736,450,1.82
2010-12-02,United Kingdom,2192,927,3.44
2010-12-02,United Kingdom,1715,1104,3.13
2010-12-02,United Kingdom,660,469,1.61
2010-12-02,United Kingdom,100,56,3.58
2010-12-02,United Kingdom,1277,553,2.35
2010-12-02,United Kingdom,2326,1519,1.47
2010-12-02,United Kingdom,1846,862,3.45
2010-12-02,EIRE,2931,2108,2.46
2010-12-02,United Kingdom,2993,1389,1.94
2010-12-02,United Kingdom,1666,864,3.06
2010-12-02,United Kingdom,2963,1243,4.04
2010-12-02,United Kingdom,2735,1762,1.09
2010-12-02,United Kingdom,913,423,2.17
2010-12-02,United Kingdom,1260,523,1.85
2010-12-02,United Kingdom,1090,587,1.29
2010-12-02,United Kingdom,2229,975,2.95
2010-12-02,United Kingdom,1054,442,3.3
2010-12-02,United Kingdom,1032,477,3.35
2010-12-02,United Kingdom,817,382,3.68
2010-12-02,United Kingdom,360,281,3.15
2010-12-02,United Kingdom,855,448,2.51
2010-12-02,United Kingdom,100,45,1.8
2010-12-02,United Kingdom,448,312,3.77
2010-12-02,United Kingdom,100,63,4.3
2010-12-02,United Kingdom,1412,676,2.85
2010-12-02,United Kingdom,1687,754,2.06
2010-12-02,United Kingdom,3192,1503,1.06
2010-12-02,United Kingdom,1282,855,1.81
2010-12-02,United Kingdom,397,260,1.81
2010-12-02,United Kingdom,193,154,1.27
2010-12-02,Germany,266,134,2.97
2010-12-02,United Kingdom,1291,835,4.44
2010-12-02,United Kingdom,3564,1438,3.49
2010-12-02,United Kingdom,2308,1825,1.25
2010-12-02,United Kingdom,2016,1181,2.77
2010-12-02,United Kingdom,865,609,3.23
2010-12-02,United Kingdom,1769,807,2.17
2010-12-03,United Kingdom,260,152,2.06
2010-12-03,United Kingdom,1981,1344,2.68
2010-12-03,United Kingdom,575,283,2.25
2010-12-03,United Kingdom,2758,2124,1.89
2010-12-03,United Kingdom,1185,478,3.5
2010-12-03,France,1341,737,2.58
2010-12-03,United Kingdom,1118,527,3.36
2010-12-03,United Kingdom,1825,881,2.59
2010-12-03,United Kingdom,2360,1461,3.58
2010-12-03,United Kingdom,2589,1479,2.32
2010-12-03,United Kingdom,1445,1061,4.4
2010-12-03,Switzerland,2542,1418,3.46
2010-12-03,United Kingdom,1467,1127,4.44
2010-12-03,Germany,1421,696,3.09
2010-12-03,United Kingdom,2109,1218,3.5
2010-12-03,United Kingdom,2393,1263,3.49
2010-12-03,United Kingdom,1083,858,1.19
2010-12-03,United Kingdom,906,370,1.47
2010-12-03,United Kingdom,1378,920,3.29
2010-12-03,United Kingdom,2422,1123,2.86
2010-12-03,United Kingdom,1799,1008,2.66
2010-12-03,United Kingdom,2069,1143,2.47
2010-12-03,EIRE,2714,1438,1.47
2010-12-03,EIRE,1297,639,3.69
2010-12-03,United Kingdom,2178,951,2.28
2010-12-03,United Kingdom,1498,1177,1.97
2010-12-03,United Kingdom,1598,946,1.14
2010-12-03,United Kingdom,503,249,2.63
2010-12-03,Spain,1164,695,4.18
2010-12-03,United Kingdom,1662,1077,3.18
2010-12-03,United Kingdom,1981,896,1.68
2010-12-03,United Kingdom,100,40,4.36
2010-12-03,United Kingdom,2392,1416,3.19
2010-12-03,United Kingdom,1936,999,4.26
2010-12-03,United Kingdom,1140,742,1.7
2010-12-03,Germany,2213,1435,3.89
2010-12-03,United Kingdom,2674,2012,3.19
2010-12-03,United Kingdom,1761,915,4.01
2010-12-03,United Kingdom,1271,707,1.44
2010-12-03,Poland,2468,1137,4.32
2010-12-03,United Kingdom,161,71,2.53
2010-12-03,United Kingdom,100,42,3.63
2010-12-03,France,578,361,3.27
2010-12-03,EIRE,2482,1380,3.54
2010-12-03,United Kingdom,1495,700,1.69
2010-12-03,United Kingdom,331,234,4.01
2010-12-03,United Kingdom,1229,709,3.19
2010-12-03,United Kingdom,2278,1095,2.16
2010-12-03,United Kingdom,2435,1720,1.89
2010-12-03,Germany,1004,653,2.29
2010-12-03,United Kingdom,1094,655,1.23
2010-12-03,United Kingdom,1262,571,3.24
2010-12-03,United Kingdom,1428,795,2.73
2010-12-03,United Kingdom,316,153,2.15
2010-12-03,United Kingdom,1644,1231,1.44
2010-12-03,Portugal,2057,1026,1.48
2010-12-03,United Kingdom,817,571,4.22
2010-12-03,United Kingdom,1111,472,4.4
2010-12-03,United Kingdom,454,344,4.35
2010-12-03,United Kingdom,812,541,1.86
2010-12-03,United Kingdom,1976,951,2.37
2010-12-03,United Kingdom,945,590,4.18
2010-12-03,United Kingdom,828,587,4.43
2010-12-03,United Kingdom,1338,906,3.94
2010-12-03,United Kingdom,868,471,3.53
2010-12-03,United Kingdom,1829,1158,1.13
2010-12-03,United Kingdom,1563,1111,4.44
2010-12-03,United Kingdom,359,246,1.06
2010-12-03,United Kingdom,3354,1418,1.22
2010-12-03,United Kingdom,1715,1177,1.33
2010-12-03,United Kingdom,1233,619,1.66
2010-12-03,United Kingdom,1946,970,1.08
2010-12-03,United Kingdom,2006,1066,1.48
2010-12-03,Italy,1738,809,4.34
2010-12-03,United Kingdom,1446,966,1.83
2010-12-03,United Kingdom,446,253,2.61
2010-12-03,Belgium,1101,823,4.06
2010-12-03,United Kingdom,871,398,2.58
2010-12-03,United Kingdom,100,45,1.78
2010-12-03,United Kingdom,1190,554,4.05
2010-12-03,United Kingdom,1389,608,1.82
2010-12-03,United Kingdom,2613,1757,2.3
2010-12-03,United Kingdom,430,213,4.21
2010-12-03,United Kingdom,2747,1114,1.22
2010-12-03,United Kingdom,1452,1029,3.42
2010-12-05,United Kingdom,853,563,2.81
2010-12-05,United Kingdom,1546,1183,4.01
2010-12-05,United Kingdom,3060,1480,2.53
2010-12-05,United Kingdom,2855,1204,1.38
2010-12-05,United Kingdom,1836,1395,2.37
2010-12-05,United Kingdom,272,186,1.04
2010-12-05,United Kingdom,1318,816,3.32
2010-12-05,United Kingdom,2753,1269,4.34
2010-12-05,United Kingdom,1194,886,2.98
2010-12-05,United Kingdom,746,506,3.99
2010-12-05,United Kingdom,764,324,4.28
2010-12-05,United Kingdom,100,50,2.75
2010-12-05,United Kingdom,2024,1021,3.33
2010-12-05,United Kingdom,1780,799,2.63
2010-12-05,United Kingdom,652,296,4.47
2010-12-05,United Kingdom,782,498,2.08
2010-12-05,United Kingdom,813,566,4.16
2010-12-05,United Kingdom,2344,1753,3.01
2010-12-05,United Kingdom,745,384,1.69
2010-12-05,United Kingdom,1686,886,1.33
2010-12-05,United Kingdom,2640,1980,1.87
2010-12-05,United Kingdom,519,271,2.88
2010-12-05,France,2259,1728,3.47
2010-12-05,United Kingdom,1181,751,3.57
2010-12-05,United Kingdom,3109,2145,1.38
2010-12-05,Lithuania,1321,996,1.49
2010-12-05,Lithuania,1100,735,2.61
2010-12-05,Lithuania,3031,1544,3.81
2010-12-05,United Kingdom,1076,467,3.14
2010-12-05,United Kingdom,2481,1327,2.11
2010-12-05,United Kingdom,100,67,2.03
2010-12-05,United Kingdom,1542,966,1.19
2010-12-05,United Kingdom,3711,2262,2.3
2010-12-05,United Kingdom,1657,836,3.96
2010-12-05,United Kingdom,381,197,3.35
2010-12-05,United Kingdom,1566,762,3.38
2010-12-05,United Kingdom,1800,1088,3.4
2010-12-05,United Kingdom,1846,798,2.25
2010-12-05,United Kingdom,1875,926,4.33
2010-12-05,United Kingdom,2025,816,2.76
2010-12-05,United Kingdom,271,109,3.51
2010-12-05,United Kingdom,1046,542,2.05
2010-12-05,United Kingdom,1685,1317,1.2
2010-12-05,United Kingdom,3247,2446,1.79
2010-12-05,United Kingdom,137,101,2.27
2010-12-05,United Kingdom,1742,1383,4.13
2010-12-05,United Kingdom,1128,787,3.91
2010-12-05,United Kingdom,1031,601,1.59
2010-12-05,United Kingdom,1263,915,1.52
2010-12-05,United Kingdom,2754,1711,2.92
2010-12-05,United Kingdom,3122,1915,2.81
2010-12-05,United Kingdom,1823,1068,2.68
2010-12-05,United Kingdom,1626,1184,4.39
2010-12-05,United Kingdom,2002,946,2.48
2010-12-05,United Kingdom,684,406,1.09
2010-12-05,United Kingdom,660,332,4.12
2010-12-05,United Kingdom,100,55,3.21
2010-12-05,United Kingdom,1456,894,1.61
2010-12-05,United Kingdom,452,344,3.75
2010-12-05,Germany,688,313,3.13
2010-12-05,Germany,1502,1072,4.13
2010-12-05,United Kingdom,868,396,1.39
2010-12-05,United Kingdom,1662,814,3.05
2010-12-05,Germany,1009,762,2.3
2010-12-05,United Kingdom,100,68,1.71
2010-12-05,United Kingdom,100,56,3.68
2010-12-05,United Kingdom,1500,1053,3.87
2010-12-05,United Kingdom,405,316,2.59
2010-12-05,United Kingdom,730,352,2.34
2010-12-05,United Kingdom,510,274,3.29
2010-12-05,United Kingdom,1050,503,1.77
2010-12-05,United Kingdom,1707,1235,2.86
2010-12-05,United Kingdom,372,259,1.61
2010-12-05,Germany,357,249,1.65
2010-12-05,United Kingdom,2201,971,2.09
2010-12-05,United Kingdom,1421,576,3.33
2010-12-05,United Kingdom,2681,1508,3.87
2010-12-05,United Kingdom,577,361,4.35
2010-12-05,Japan,231,183,4.35
2010-12-05,United Kingdom,100,71,4.3
2010-12-05,United Kingdom,2838,2176,3.35
2010-12-05,United Kingdom,377,158,3.98
2010-12-05,United Kingdom,2805,1127,2.42
2010-12-05,United Kingdom,2036,1574,1.78
2010-12-05,United Kingdom,2531,1683,3.06
2010-12-05,United Kingdom,1452,892,2.82
2010-12-06,United Kingdom,1973,1576,2.92
2010-12-06,United Kingdom,1293,532,1.22
2010-12-06,United Kingdom,2120,898,3.55
2010-12-06,United Kingdom,3133,1931,1.15
2010-12-06,United Kingdom,890,699,4.48
2010-12-06,United Kingdom,401,243,1.45
2010-12-06,Italy,1444,730,2.18
2010-12-06,United Kingdom,535,333,4.13
2010-12-06,United Kingdom,2067,1004,3.02
2010-12-06,United Kingdom,2094,979,1.95
2010-12-06,United Kingdom,1409,911,1.18
2010-12-06,United Kingdom,990,408,2.68
2010-12-06,United Kingdom,2323,1760,2.28
2010-12-06,United Kingdom,1063,659,2.27
2010-12-06,United Kingdom,2056,1314,3.57
2010-12-06,United Kingdom,2392,1822,1.62
2010-12-06,United Kingdom,2295,1814,1.89
2010-12-06,United Kingdom,779,519,3.32
2010-12-06,United Kingdom,1444,850,3.48
2010-12-06,Portugal,1500,942,4.05
2010-12-06,United Kingdom,473,250,2.73
2010-12-06,United Kingdom,295,168,2.24
2010-12-06,United Kingdom,455,271,3.99
2010-12-06,Germany,514,390,2.94
2010-12-06,United Kingdom,905,554,2.02
2010-12-06,United Kingdom,2308,1176,1.41
2010-12-06,United Kingdom,1033,486,2.73
2010-12-06,United Kingdom,2237,1218,1.24
2010-12-06,United Kingdom,2443,1753,3.99
2010-12-06,United Kingdom,968,760,3.33
2010-12-06,United Kingdom,2173,1244,3.47
2010-12-06,United Kingdom,1976,1509,1.84
2010-12-06,United Kingdom,1368,1089,2.83
2010-12-06,United Kingdom,1993,800,4.33
2010-12-06,United Kingdom,2540,2020,3.72
2010-12-06,United Kingdom,1505,1040,4.15
2010-12-06,United Kingdom,1717,1015,2.33
2010-12-06,United Kingdom,1600,914,1.83
2010-12-06,Germany,1728,1049,3.85
2010-12-06,United Kingdom,1275,833,2.88
2010-12-06,United Kingdom,1311,533,3.56
2010-12-06,United Kingdom,1893,1425,3.48
2010-12-06,United Kingdom,1744,1269,2.43
2010-12-06,United Kingdom,2042,1330,1.06
2010-12-06,United Kingdom,1692,940,3.94
2010-12-06,United Kingdom,1859,1385,1.29
2010-12-06,United Kingdom,2396,1242,1.19
2010-12-06,United Kingdom,523,305,2.09
2010-12-06,United Kingdom,1696,740,2.47
2010-12-06,United Kingdom,1478,945,2.48
2010-12-06,EIRE,915,549,2.33
2010-12-06,United Kingdom,1052,690,3.64
2010-12-06,United Kingdom,2098,1532,2.34
2010-12-06,United Kingdom,2340,1439,2.11
2010-12-06,United Kingdom,1980,1180,2.98
2010-12-06,United Kingdom,2151,886,2.45
2010-12-06,United Kingdom,1838,1278,2.32
2010-12-06,United Kingdom,879,620,2.3
2010-12-06,EIRE,1698,1233,2.69
2010-12-06,United Kingdom,1637,1086,1.28
2010-12-06,United Kingdom,2390,1257,1.71
2010-12-06,United Kingdom,1990,1235,3.01
2010-12-06,United Kingdom,1753,1314,3.46
2010-12-06,United Kingdom,2389,1411,1.65
2010-12-06,EIRE,574,442,1.22
2010-12-06,United Kingdom,843,471,1.48
2010-12-06,United Kingdom,1699,804,1.98
2010-12-06,United Kingdom,2553,1127,4.13
2010-12-06,United Kingdom,984,751,1.25
2010-12-06,United Kingdom,2203,1701,3.13
2010-12-06,United Kingdom,1363,751,4.44
2010-12-06,United Kingdom,1299,564,3.96
2010-12-06,United Kingdom,2015,919,3.72
2010-12-06,United Kingdom,1294,1033,1.17
2010-12-06,United Kingdom,2984,1339,3.17
2010-12-06,United Kingdom,1594,1129,1.45
2010-12-06,United Kingdom,1253,827,3.27
2010-12-06,United Kingdom,2835,1619,2.01
2010-12-06,United Kingdom,2077,840,3.39
2010-12-06,United Kingdom,1752,1345,1.95
2010-12-06,United Kingdom,2188,1201,3.02
2010-12-06,United Kingdom,712,432,1.06
2010-12-06,United Kingdom,1926,1096,1.17
2010-12-06,United Kingdom,1201,557,2.2
2010-12-06,United Kingdom,966,437,1.49
2010-12-06,United Kingdom,989,783,2.45
2010-12-06,United Kingdom,1038,634,3.86
2010-12-06,United Kingdom,100,60,2.25
2010-12-06,United Kingdom,970,722,3.63
2010-12-06,United Kingdom,1384,964,4.37
2010-12-06,United Kingdom,916,614,1.61
2010-12-06,United Kingdom,1590,1045,1.24
2010-12-06,United Kingdom,1278,575,1.78
2010-12-06,United Kingdom,1156,888,1.81
2010-12-06,United Kingdom,1600,1207,1.14
2010-12-06,United Kingdom,727,328,3.35
2010-12-06,United Kingdom,922,514,3.07
2010-12-06,United Kingdom,787,580,4.13
2010-12-06,United Kingdom,891,525,2.29
2010-12-06,United Kingdom,1663,1127,3.32
2010-12-06,United Kingdom,928,651,3.9
2010-12-06,United Kingdom,763,323,1.06
2010-12-06,United Kingdom,2318,1743,4.19
2010-12-06,United Kingdom,100,59,1.12
2010-12-06,United Kingdom,808,477,3.1
2010-12-06,United Kingdom,305,211,2.11
2010-12-06,United Kingdom,1257,623,1.91
2010-12-06,United Kingdom,1220,687,1.07
2010-12-06,United Kingdom,1807,848,4.04
2010-12-06,United Kingdom,2820,1642,2.8
2010-12-06,United Kingdom,1576,1213,1.58
2010-12-06,United Kingdom,959,723,2.28
2010-12-06,United Kingdom,910,587,4.01
2010-12-07,United Kingdom,757,404,3.5
2010-12-07,United Kingdom,1340,693,2.85
2010-12-07,United Kingdom,1184,603,3.66
2010-12-07,United Kingdom,2126,1174,1.69
2010-12-07,United Kingdom,509,209,4.44
2010-12-07,United Kingdom,1082,836,3.87
2010-12-07,United Kingdom,2041,1464,3.48
2010-12-07,United Kingdom,222,177,4.43
2010-12-07,United Kingdom,1085,478,3.16
2010-12-07,United Kingdom,2815,2101,3.67
2010-12-07,United Kingdom,1360,802,4.44
2010-12-07,United Kingdom,2240,1390,4.38
2010-12-07,United Kingdom,2003,845,1.14
2010-12-07,United Kingdom,2147,1628,2.46
2010-12-07,United Kingdom,2457,1934,1.57
2010-12-07,United Kingdom,2077,942,1.71
2010-12-07,France,1493,810,1.06
2010-12-07,United Kingdom,1833,735,3.17
2010-12-07,United Kingdom,1113,643,1.75
2010-12-07,United Kingdom,1524,807,1.84
2010-12-07,United Kingdom,3186,2033,2.52
2010-12-07,France,2295,1811,1.8
2010-12-07,United Kingdom,1312,788,1.93
2010-12-07,United Kingdom,1180,755,4.41
2010-12-07,United Kingdom,1352,612,3.45
2010-12-07,United Kingdom,2183,1695,1.51
2010-12-07,United Kingdom,2260,1346,3.25
2010-12-07,United Kingdom,1781,1243,1.86
2010-12-07,United Kingdom,1192,567,2.99
2010-12-07,United Kingdom,1556,838,1.25
2010-12-07,United Kingdom,1899,1128,3.03
2010-12-07,United Kingdom,2792,2103,2.73
2010-12-07,United Kingdom,1783,1264,2.27
2010-12-07,United Kingdom,3009,1779,3.58
2010-12-07,United Kingdom,940,643,3.25
2010-12-07,United Kingdom,1568,921,2.74
2010-12-07,United Kingdom,2189,1407,2.01
2010-12-07,United Kingdom,942,680,2.99
2010-12-07,United Kingdom,1346,857,1.13
2010-12-07,Germany,1764,722,3.42
2010-12-07,United Kingdom,1305,962,1.51
2010-12-07,United Kingdom,2001,1536,1.19
2010-12-07,United Kingdom,1745,1210,3.21
2010-12-07,United Kingdom,185,108,4.05
2010-12-07,United Kingdom,2255,1299,1.61
2010-12-07,United Kingdom,100,43,4.15
2010-12-07,United Kingdom,2209,1034,1.02
2010-12-07,United Kingdom,1657,1230,1.41
