InvoiceNo,ShipmentDate,DeliveryDate,Courier,ShippingCost,Status
536550,2010-12-01,2010-12-02,UPS,4.95,Delivered
536551,2010-12-02,2010-12-03,Royal Mail,4.47,Delivered
536552,2010-12-02,2010-12-04,UPS,5.92,Delivered
536553,2010-12-03,2010-12-09,UPS,4.1,Delivered
536554,2010-12-03,2010-12-05,Hermes,4.64,Delivered
536555,2010-12-01,2010-12-08,FedEx,4.02,Delivered
536556,2010-12-01,2010-12-02,FedEx,4.44,Delivered
536557,2010-12-02,2010-12-09,Royal Mail,6.11,Delivered
536558,2010-12-01,2010-12-07,Royal Mail,4.19,Delivered
536559,2010-12-02,2010-12-09,Hermes,6.52,Delivered
536560,2010-12-03,2010-12-09,DHL,3.64,Delivered
536561,2010-12-01,2010-12-08,DHL,8.61,Delivered
536562,2010-12-02,2010-12-03,DHL,4.46,Delivered
536563,2010-12-03,2010-12-06,UPS,6.29,Delivered
536564,2010-12-01,2010-12-04,DHL,1.22,Delivered
536565,2010-12-03,2010-12-04,UPS,7.75,Delivered
536566,2010-12-01,2010-12-03,UPS,2.15,Delivered
536567,2010-12-02,2010-12-05,DHL,5.5,Delivered
536568,2010-12-02,2010-12-05,FedEx,7.9,Delivered
536569,2010-12-01,2010-12-08,FedEx,3.58,Delivered
536570,2010-12-03,2010-12-10,Hermes,6.92,Delivered
536571,2010-12-02,2010-12-03,Royal Mail,6.11,Delivered
536572,2010-12-03,2010-12-06,Royal Mail,3.91,Delivered
536573,2010-12-01,2010-12-06,UPS,3.01,Delivered
536574,2010-12-02,2010-12-07,Hermes,7.9,Delivered
536575,2010-12-01,2010-12-05,Hermes,5.22,Delivered
536576,2010-12-02,2010-12-03,Hermes,5.56,Delivered
536577,2010-12-03,2010-12-09,DHL,4.5,Delivered
536578,2010-12-03,2010-12-06,Hermes,5.57,Delivered
536579,2010-12-02,2010-12-08,Royal Mail,4.68,Delivered
536580,2010-12-02,2010-12-08,UPS,3.34,Delivered
536581,2010-12-02,2010-12-06,FedEx,3.77,Delivered
536582,2010-12-03,2010-12-07,DHL,4.56,Delivered
536583,2010-12-03,2010-12-08,FedEx,1.85,Delivered
536584,2010-12-02,2010-12-05,DHL,7.11,Delivered
536585,2010-12-02,2010-12-09,Hermes,3.62,Delivered
536586,2010-12-02,2010-12-06,DHL,3.9,Delivered
536587,2010-12-03,2010-12-07,DHL,4.11,Delivered
536588,2010-12-03,2010-12-09,Hermes,3.63,Delivered
536589,2010-12-02,2010-12-03,DHL,4.33,Delivered
536590,2010-12-01,2010-12-03,Royal Mail,3.74,Delivered
536591,2010-12-01,2010-12-03,UPS,2.38,Delivered
536591,2010-12-02,2010-12-06,Hermes,2.8,Delivered
536592,2010-12-01,2010-12-07,UPS,3.51,Delivered
536593,2010-12-03,2010-12-09,Royal Mail,5.05,Delivered
536594,2010-12-01,2010-12-08,UPS,5.7,Delivered
536595,2010-12-03,2010-12-08,UPS,8.54,Delivered
536596,2010-12-01,2010-12-06,DHL,5.88,Delivered
536597,2010-12-01,2010-12-08,UPS,4.5,Delivered
536598,2010-12-04,2010-12-09,Hermes,0.96,Delivered
536599,2010-12-03,2010-12-08,Hermes,2.24,Delivered
536600,2010-12-03,2010-12-10,Hermes,3.89,Delivered
536601,2010-12-03,2010-12-07,FedEx,5.39,Delivered
536602,2010-12-02,2010-12-09,FedEx,5.24,Delivered
536603,2010-12-04,2010-12-06,FedEx,2.58,Delivered
536604,2010-12-03,2010-12-04,FedEx,5.18,Delivered
536605,2010-12-04,2010-12-05,DHL,6.8,Delivered
C536606,2010-12-02,2010-12-04,UPS,3.92,Delivered
536607,2010-12-02,2010-12-06,UPS,2.06,Delivered
536608,2010-12-03,2010-12-08,UPS,3.82,Delivered
536609,2010-12-03,2010-12-07,Hermes,5.69,Delivered
536610,2010-12-04,2010-12-05,Hermes,4.84,Delivered
536611,2010-12-03,2010-12-06,UPS,5.15,Delivered
536612,2010-12-03,2010-12-08,Hermes,6.32,Delivered
536613,2010-12-03,2010-12-05,FedEx,0.94,Delivered
536614,2010-12-03,2010-12-07,Royal Mail,2.72,Delivered
536615,2010-12-03,2010-12-09,DHL,6.91,Delivered
536616,2010-12-03,2010-12-05,Hermes,0.74,Delivered
536617,2010-12-04,2010-12-09,Royal Mail,4.07,Delivered
536618,2010-12-02,2010-12-08,UPS,6.46,Delivered
536619,2010-12-02,2010-12-05,UPS,6.68,Delivered
536620,2010-12-03,2010-12-05,UPS,3.43,Delivered
536621,2010-12-03,2010-12-06,UPS,8.0,Delivered
C536622,2010-12-03,2010-12-10,Royal Mail,1.73,Delivered
536623,2010-12-02,2010-12-05,DHL,5.62,Delivered
536624,2010-12-04,2010-12-05,Royal Mail,5.13,Delivered
536626,2010-12-02,2010-12-09,Royal Mail,0.11,Delivered
C536625,2010-12-04,2010-12-06,DHL,7.09,Delivered
536627,2010-12-04,2010-12-06,UPS,7.12,Delivered
536628,2010-12-04,2010-12-07,FedEx,6.35,Delivered
536629,2010-12-04,2010-12-10,Royal Mail,7.38,Delivered
536630,2010-12-02,2010-12-05,Royal Mail,0.95,Delivered
536631,2010-12-04,2010-12-10,UPS,2.82,Delivered
536632,2010-12-03,2010-12-09,DHL,7.72,Delivered
536633,2010-12-04,2010-12-06,Royal Mail,6.41,Delivered
536634,2010-12-04,2010-12-11,FedEx,6.6,Delivered
536635,2010-12-02,2010-12-09,Hermes,2.81,Delivered
536636,2010-12-02,2010-12-05,Hermes,3.27,Delivered
536637,2010-12-04,2010-12-10,FedEx,5.84,Delivered
536638,2010-12-02,2010-12-09,UPS,5.41,Delivered
536639,2010-12-03,2010-12-09,UPS,4.15,Delivered
536640,2010-12-04,2010-12-06,UPS,6.09,Delivered
536641,2010-12-04,2010-12-07,Hermes,7.17,Delivered
C536642,2010-12-04,2010-12-11,UPS,1.35,Delivered
536643,2010-12-04,2010-12-07,FedEx,5.82,Delivered
536663,2010-12-02,2010-12-09,Royal Mail,4.6,Delivered
536667,2010-12-03,2010-12-08,Hermes,7.15,Delivered
536670,2010-12-04,2010-12-08,FedEx,8.84,Delivered
536671,2010-12-02,2010-12-06,DHL,5.7,Delivered
536672,2010-12-03,2010-12-10,FedEx,2.78,Delivered
536673,2010-12-04,2010-12-07,Hermes,8.47,Delivered
536674,2010-12-02,2010-12-07,DHL,7.74,Delivered
536676,2010-12-03,2010-12-08,DHL,6.64,Delivered
536681,2010-12-04,2010-12-08,UPS,4.65,Delivered
536685,2010-12-03,2010-12-05,UPS,5.12,Delivered
536688,2010-12-04,2010-12-06,FedEx,4.01,Delivered
536690,2010-12-04,2010-12-09,FedEx,3.35,Delivered
536693,2010-12-03,2010-12-09,Hermes,3.49,Delivered
536698,2010-12-03,2010-12-06,FedEx,7.72,Delivered
536707,2010-12-02,2010-12-03,DHL,3.68,Delivered
536732,2010-12-04,2010-12-06,DHL,8.02,Delivered
536733,2010-12-02,2010-12-08,UPS,4.56,Delivered
C536734,2010-12-04,2010-12-09,FedEx,7.63,Delivered
536735,2010-12-02,2010-12-09,DHL,4.46,Delivered
536736,2010-12-03,2010-12-04,Hermes,6.81,Delivered
C536737,2010-12-02,2010-12-05,Royal Mail,7.51,Delivered
536738,2010-12-04,2010-12-06,UPS,4.59,Delivered
536739,2010-12-02,2010-12-09,Royal Mail,2.99,Delivered
536740,2010-12-03,2010-12-06,DHL,3.99,Delivered
536741,2010-12-02,2010-12-05,UPS,5.55,Delivered
536742,2010-12-03,2010-12-04,Hermes,5.48,Delivered
536743,2010-12-04,2010-12-10,Royal Mail,7.11,Delivered
536744,2010-12-03,2010-12-04,DHL,7.98,Delivered
536745,2010-12-02,2010-12-07,UPS,2.22,Delivered
536746,2010-12-02,2010-12-09,Hermes,2.81,Delivered
536747,2010-12-03,2010-12-07,UPS,4.22,Delivered
536748,2010-12-03,2010-12-06,Hermes,7.55,Delivered
536749,2010-12-04,2010-12-05,Hermes,5.89,Delivered
536750,2010-12-02,2010-12-08,DHL,4.77,Delivered
536751,2010-12-03,2010-12-09,Royal Mail,5.68,Delivered
536752,2010-12-02,2010-12-04,Royal Mail,6.03,Delivered
536753,2010-12-03,2010-12-07,Hermes,4.49,Delivered
536754,2010-12-03,2010-12-09,FedEx,5.1,Delivered
536755,2010-12-04,2010-12-11,UPS,6.31,Delivered
536756,2010-12-03,2010-12-10,Hermes,5.63,Delivered
C536757,2010-12-04,2010-12-11,DHL,2.76,Delivered
C536758,2010-12-04,2010-12-06,FedEx,6.14,Delivered
536759,2010-12-02,2010-12-03,Royal Mail,5.86,Delivered
C536760,2010-12-04,2010-12-11,Hermes,6.48,Delivered
536761,2010-12-03,2010-12-07,Royal Mail,3.33,Delivered
536762,2010-12-03,2010-12-06,Hermes,5.33,Delivered
536763,2010-12-04,2010-12-08,UPS,5.5,Delivered
536764,2010-12-03,2010-12-09,FedEx,5.28,Delivered
536765,2010-12-04,2010-12-07,Royal Mail,9.29,Delivered
536769,2010-12-04,2010-12-09,Royal Mail,7.78,Delivered
536771,2010-12-04,2010-12-11,FedEx,1.99,Delivered
536777,2010-12-02,2010-12-06,Hermes,3.44,Delivered
536778,2010-12-04,2010-12-08,FedEx,6.11,Delivered
536779,2010-12-04,2010-12-11,UPS,7.41,Delivered
536780,2010-12-02,2010-12-06,FedEx,3.52,Delivered
536781,2010-12-02,2010-12-09,DHL,5.96,Delivered
536782,2010-12-03,2010-12-07,UPS,3.85,Delivered
536783,2010-12-04,2010-12-05,UPS,9.68,Delivered
536784,2010-12-02,2010-12-05,FedEx,2.64,Delivered
536785,2010-12-03,2010-12-10,Hermes,9.75,Delivered
536786,2010-12-02,2010-12-08,Hermes,4.35,Delivered
536787,2010-12-04,2010-12-07,Hermes,5.16,Delivered
536788,2010-12-03,2010-12-09,UPS,5.08,Delivered
536789,2010-12-04,2010-12-06,FedEx,3.65,Delivered
536790,2010-12-03,2010-12-09,UPS,8.89,Delivered
536791,2010-12-04,2010-12-11,DHL,8.72,Delivered
536792,2010-12-04,2010-12-06,FedEx,2.59,Delivered
536793,2010-12-02,2010-12-04,Royal Mail,4.2,Delivered
536794,2010-12-03,2010-12-04,DHL,1.82,Delivered
536795,2010-12-04,2010-12-10,FedEx,5.03,Delivered
536796,2010-12-03,2010-12-10,UPS,6.48,Delivered
536797,2010-12-04,2010-12-06,UPS,4.81,Delivered
536798,2010-12-02,2010-12-07,Hermes,4.97,Delivered
536799,2010-12-02,2010-12-05,UPS,3.92,Delivered
536800,2010-12-03,2010-12-10,Hermes,4.98,Delivered
536801,2010-12-04,2010-12-07,Hermes,5.14,Delivered
536802,2010-12-04,2010-12-10,UPS,6.44,Delivered
536803,2010-12-03,2010-12-06,FedEx,3.37,Delivered
536804,2010-12-04,2010-12-11,Hermes,1.67,Delivered
536805,2010-12-02,2010-12-08,DHL,8.24,Delivered
536806,2010-12-04,2010-12-08,DHL,6.27,Delivered
C536807,2010-12-03,2010-12-09,UPS,3.38,Delivered
536808,2010-12-04,2010-12-11,UPS,2.77,Delivered
536809,2010-12-04,2010-12-06,UPS,6.94,Delivered
536810,2010-12-02,2010-12-04,Hermes,6.75,Delivered
536811,2010-12-02,2010-12-09,UPS,4.61,Delivered
C536812,2010-12-02,2010-12-07,UPS,6.11,Delivered
536813,2010-12-04,2010-12-06,Royal Mail,5.11,Delivered
C536814,2010-12-03,2010-12-10,FedEx,3.38,Delivered
C536815,2010-12-04,2010-12-05,FedEx,7.61,Delivered
C536816,2010-12-04,2010-12-11,Hermes,3.73,Delivered
C536817,2010-12-04,2010-12-11,UPS,6.19,Delivered
C536818,2010-12-04,2010-12-05,Hermes,7.57,Delivered
536819,2010-12-03,2010-12-05,Royal Mail,6.18,Delivered
C536820,2010-12-03,2010-12-04,Royal Mail,2.11,Delivered
536821,2010-12-02,2010-12-03,FedEx,6.07,Delivered
C536822,2010-12-02,2010-12-05,FedEx,4.21,Delivered
536823,2010-12-04,2010-12-08,Hermes,5.79,Delivered
536824,2010-12-04,2010-12-11,DHL,5.39,Delivered
C536825,2010-12-03,2010-12-08,DHL,5.71,Delivered
C536826,2010-12-03,2010-12-08,DHL,5.32,Delivered
C536827,2010-12-03,2010-12-06,Royal Mail,7.83,Delivered
C536828,2010-12-03,2010-12-06,Hermes,6.18,Delivered
C536829,2010-12-03,2010-12-08,FedEx,6.81,Delivered
536830,2010-12-04,2010-12-08,FedEx,3.37,Delivered
536831,2010-12-03,2010-12-10,UPS,5.45,Delivered
536832,2010-12-02,2010-12-04,UPS,2.65,Delivered
536833,2010-12-04,2010-12-07,Royal Mail,3.86,Delivered
536834,2010-12-04,2010-12-08,FedEx,9.0,Delivered
536835,2010-12-04,2010-12-05,Hermes,5.2,Delivered
536836,2010-12-04,2010-12-08,FedEx,5.23,Delivered
536837,2010-12-03,2010-12-05,DHL,3.57,Delivered
536838,2010-12-04,2010-12-07,DHL,2.01,Delivered
536839,2010-12-04,2010-12-05,FedEx,1.88,Delivered
536840,2010-12-03,2010-12-04,Hermes,4.3,Delivered
536841,2010-12-03,2010-12-06,UPS,5.8,Delivered
536842,2010-12-02,2010-12-04,DHL,5.93,Delivered
536843,2010-12-03,2010-12-08,Hermes,1.02,Delivered
536844,2010-12-03,2010-12-10,DHL,4.84,Delivered
536845,2010-12-03,2010-12-10,FedEx,8.73,Delivered
536846,2010-12-04,2010-12-11,FedEx,5.75,Delivered
536847,2010-12-03,2010-12-05,DHL,2.88,Delivered
536848,2010-12-05,2010-12-11,UPS,8.54,Delivered
536849,2010-12-04,2010-12-05,UPS,4.26,Delivered
C536850,2010-12-03,2010-12-06,Hermes,6.37,Delivered
536851,2010-12-05,2010-12-11,FedEx,6.34,Delivered
536852,2010-12-05,2010-12-09,FedEx,6.13,Delivered
C536853,2010-12-03,2010-12-08,Hermes,5.92,Delivered
C536854,2010-12-04,2010-12-09,DHL,3.3,Delivered
C536855,2010-12-04,2010-12-10,FedEx,2.73,Delivered
536856,2010-12-05,2010-12-09,Royal Mail,8.09,Delivered
536857,2010-12-04,2010-12-08,Royal Mail,8.72,Delivered
536858,2010-12-03,2010-12-05,Hermes,6.45,Delivered
536859,2010-12-05,2010-12-11,Hermes,6.66,Delivered
536860,2010-12-04,2010-12-09,DHL,7.19,Delivered
536861,2010-12-04,2010-12-09,UPS,3.08,Delivered
536862,2010-12-04,2010-12-05,FedEx,5.44,Delivered
536863,2010-12-03,2010-12-10,FedEx,7.12,Delivered
536864,2010-12-03,2010-12-09,FedEx,0.0,Delivered
536865,2010-12-04,2010-12-05,UPS,3.48,Delivered
536866,2010-12-04,2010-12-06,Royal Mail,8.54,Delivered
536874,2010-12-03,2010-12-09,DHL,3.83,Delivered
536876,2010-12-05,2010-12-11,Hermes,5.63,Delivered
536883,2010-12-04,2010-12-06,DHL,4.88,Delivered
536884,2010-12-05,2010-12-07,Royal Mail,6.22,Delivered
536885,2010-12-05,2010-12-07,DHL,2.77,Delivered
536890,2010-12-04,2010-12-11,DHL,5.65,Delivered
536920,2010-12-04,2010-12-11,DHL,2.39,Delivered
536938,2010-12-03,2010-12-08,FedEx,5.29,Delivered
536941,2010-12-03,2010-12-05,Royal Mail,4.08,Delivered
536942,2010-12-04,2010-12-11,DHL,4.7,Delivered
536943,2010-12-04,2010-12-05,DHL,4.81,Delivered
536944,2010-12-05,2010-12-09,Hermes,5.55,Delivered
536945,2010-12-04,2010-12-11,FedEx,5.47,Delivered
536946,2010-12-05,2010-12-10,Royal Mail,3.65,Delivered
536947,2010-12-05,2010-12-06,Hermes,5.42,Delivered
536954,2010-12-04,2010-12-08,Royal Mail,7.12,Delivered
536956,2010-12-04,2010-12-08,Royal Mail,5.85,Delivered
536957,2010-12-04,2010-12-10,UPS,5.73,Delivered
536960,2010-12-05,2010-12-07,Royal Mail,5.37,Delivered
536967,2010-12-03,2010-12-06,Hermes,3.31,Delivered
536968,2010-12-04,2010-12-08,Hermes,3.13,Delivered
536969,2010-12-05,2010-12-08,UPS,2.88,Delivered
536970,2010-12-05,2010-12-06,Hermes,4.93,Delivered
536971,2010-12-05,2010-12-12,DHL,1.21,Delivered
536972,2010-12-04,2010-12-07,UPS,6.78,Delivered
536973,2010-12-04,2010-12-08,Royal Mail,4.34,Delivered
536974,2010-12-04,2010-12-07,DHL,6.6,Delivered
536975,2010-12-05,2010-12-09,Royal Mail,5.71,Delivered
536976,2010-12-04,2010-12-05,FedEx,5.46,Delivered
536977,2010-12-03,2010-12-08,Royal Mail,2.8,Delivered
C536978,2010-12-04,2010-12-10,Royal Mail,3.67,Delivered
C536979,2010-12-04,2010-12-07,UPS,7.16,Delivered
536980,2010-12-04,2010-12-09,FedEx,2.64,Delivered
536981,2010-12-04,2010-12-05,Hermes,3.84,Delivered
536982,2010-12-04,2010-12-06,Royal Mail,4.95,Delivered
536983,2010-12-04,2010-12-11,Hermes,2.72,Delivered
536984,2010-12-05,2010-12-07,UPS,7.51,Delivered
536985,2010-12-05,2010-12-12,Hermes,2.83,Delivered
536986,2010-12-03,2010-12-08,FedEx,3.12,Delivered
536987,2010-12-03,2010-12-05,FedEx,4.5,Delivered
536988,2010-12-04,2010-12-07,Royal Mail,3.36,Delivered
536989,2010-12-03,2010-12-10,DHL,3.15,Delivered
536990,2010-12-03,2010-12-09,Royal Mail,4.18,Delivered
536991,2010-12-03,2010-12-09,Hermes,5.45,Delivered
536992,2010-12-04,2010-12-06,FedEx,7.04,Delivered
536993,2010-12-04,2010-12-10,FedEx,5.43,Delivered
536994,2010-12-03,2010-12-04,DHL,2.45,Delivered
536995,2010-12-03,2010-12-10,Hermes,5.79,Delivered
536996,2010-12-04,2010-12-10,UPS,5.25,Delivered
536997,2010-12-04,2010-12-09,UPS,3.8,Delivered
536998,2010-12-05,2010-12-06,FedEx,5.72,Delivered
536999,2010-12-04,2010-12-05,FedEx,3.83,Delivered
537000,2010-12-05,2010-12-11,FedEx,2.59,Delivered
537001,2010-12-03,2010-12-05,UPS,5.67,Delivered
537002,2010-12-03,2010-12-06,DHL,4.93,Delivered
537003,2010-12-03,2010-12-10,FedEx,4.75,Delivered
537004,2010-12-04,2010-12-10,UPS,5.98,Delivered
537005,2010-12-03,2010-12-05,UPS,3.58,Delivered
537006,2010-12-05,2010-12-12,FedEx,4.71,Delivered
537007,2010-12-03,2010-12-07,Royal Mail,2.96,Delivered
537008,2010-12-03,2010-12-10,FedEx,5.87,Delivered
537009,2010-12-05,2010-12-09,Hermes,2.64,Delivered
537010,2010-12-04,2010-12-05,UPS,6.62,Delivered
537011,2010-12-03,2010-12-06,DHL,5.88,Delivered
537012,2010-12-05,2010-12-08,Royal Mail,2.37,Delivered
537013,2010-12-04,2010-12-11,Royal Mail,5.11,Delivered
537014,2010-12-05,2010-12-06,UPS,7.66,Delivered
537015,2010-12-04,2010-12-10,FedEx,5.62,Delivered
537016,2010-12-03,2010-12-08,Royal Mail,8.42,Delivered
537017,2010-12-05,2010-12-10,DHL,6.54,Delivered
537018,2010-12-05,2010-12-12,DHL,3.97,Delivered
537019,2010-12-03,2010-12-04,DHL,4.95,Delivered
537020,2010-12-03,2010-12-10,Royal Mail,6.23,Delivered
537021,2010-12-03,2010-12-10,UPS,2.49,Delivered
537022,2010-12-05,2010-12-09,Hermes,5.58,Delivered
537023,2010-12-05,2010-12-11,Hermes,2.64,Delivered
537025,2010-12-04,2010-12-06,UPS,9.77,Delivered
C537024,2010-12-03,2010-12-07,UPS,2.58,Delivered
537026,2010-12-05,2010-12-06,FedEx,2.38,Delivered
537027,2010-12-05,2010-12-06,FedEx,4.46,Delivered
537028,2010-12-04,2010-12-11,FedEx,5.13,Delivered
537029,2010-12-03,2010-12-09,Royal Mail,3.22,Delivered
537030,2010-12-04,2010-12-09,Hermes,3.43,Delivered
537031,2010-12-05,2010-12-06,UPS,7.19,Delivered
537032,2010-12-03,2010-12-06,Hermes,3.59,Delivered
537034,2010-12-04,2010-12-09,DHL,7.11,Delivered
537035,2010-12-04,2010-12-10,Royal Mail,4.43,Delivered
537036,2010-12-05,2010-12-11,DHL,8.04,Delivered
537037,2010-12-06,2010-12-11,Hermes,5.76,Delivered
537038,2010-12-07,2010-12-09,FedEx,3.86,Delivered
C537039,2010-12-06,2010-12-13,FedEx,6.17,Delivered
537040,2010-12-07,2010-12-12,Royal Mail,5.7,Delivered
537041,2010-12-05,2010-12-08,Royal Mail,2.2,Delivered
537042,2010-12-07,2010-12-13,UPS,4.32,Delivered
C537043,2010-12-07,2010-12-12,DHL,8.13,Delivered
537044,2010-12-06,2010-12-07,Hermes,2.7,Delivered
537045,2010-12-06,2010-12-12,UPS,1.18,Delivered
537046,2010-12-05,2010-12-10,Royal Mail,4.29,Delivered
537047,2010-12-06,2010-12-13,DHL,6.81,Delivered
537048,2010-12-07,2010-12-13,Hermes,7.48,Delivered
537049,2010-12-07,2010-12-10,Royal Mail,6.65,Delivered
537050,2010-12-06,2010-12-09,DHL,6.74,Delivered
537051,2010-12-06,2010-12-08,DHL,4.45,Delivered
537052,2010-12-05,2010-12-07,Royal Mail,4.0,Delivered
537053,2010-12-07,2010-12-14,Hermes,8.38,Delivered
537054,2010-12-07,2010-12-12,Royal Mail,2.85,Delivered
537055,2010-12-07,2010-12-09,Hermes,1.52,Delivered
537057,2010-12-06,2010-12-08,DHL,6.29,Delivered
537058,2010-12-07,2010-12-14,DHL,7.79,Delivered
537059,2010-12-07,2010-12-11,Royal Mail,2.45,Delivered
537065,2010-12-05,2010-12-09,Hermes,6.6,Delivered
537067,2010-12-06,2010-12-13,UPS,5.15,Delivered
537077,2010-12-06,2010-12-13,DHL,6.47,Delivered
537081,2010-12-06,2010-12-12,Hermes,7.22,Delivered
537086,2010-12-06,2010-12-13,UPS,4.78,Delivered
537090,2010-12-07,2010-12-12,UPS,8.6,Delivered
537111,2010-12-07,2010-12-09,FedEx,4.22,Delivered
