CustomerID,Rating,Review
14938,4,Product looks neat and clean. 
14314,5,Love it so much! 
17474,5,Very satisfied with my order. 
13672,4,Nice design and quality. 
17037,5,Perfect condition very satisfied.
17762,5,Superb craftsmanship flawless.
15993,4,good products
14471,5,Exactly what I needed. 
17264,5,Very nice and practical. 
15135,4,Good texture and weight. 
18067,5,Highly pleased amazing piece.
16725,4,Good packaging 
13862,5,Stylish and strong. 
15503,5,Looks premium and neat. 
17803,4,Product quality is decent. 
14999,5,Very happy with the results. 
14293,4,Met expectations well. 
16012,5,Excellent craftsmanship. 
16168,5,Love the product! 
17894,4,Pretty good deal. 
17422,5,Everything was perfect. 
14270,4,Looks elegant and cute. 
16709,5,Product feels solid and premium. 
15488,5,Perfect finishing smooth surface.
17559,4,Arrived safely satisfied.
14756,5,Superb packaging quality excellent.
13084,4,Good product fair price.
16573,5,Looks exactly as shown. 
13390,4,Neat and fine design. 
15140,5,Very stylish and modern. 
14634,4,Item as described happy.
15226,5,Everything top quality. 
15525,5,Perfect piece great details.
17862,4,Value for money good one.
18020,5,Outstanding product overall. 
17340,4,good product.
16008,5,Wonderful craftsmanship. 
14902,5,Very happy will buy again.
14242,4,Pretty item looks nice.
13597,5,Excellent and long lasting. 
17531,5,Totally worth it! 
14141,4,Good products
16760,5,Beautifully made and elegant. 
15318,4,Matches perfectly with my decor. 
17671,5,Highly impressed with this. 
16936,5,Perfectly packed and premium. 
14069,4,Decent quality overall. 
17497,4,Exactly as I wanted. 
16069,5,Wonderful item no defects.
16423,5,Love it! Everything perfect. 
13541,4,Looks clean and beautiful. 
17528,3,Average quality fine overall.
17123,5,Completely satisfied with this. 
15333,4,Product feels sturdy. 
13247,5,Awesome design and great finish. 
16768,4,Arrived safely looks great.
17058,5,Love the craftsmanship. 
16616,5,Everything flawless perfect.
17722,4,product okay.
16002,5,Excellent quality thank you.
13909,5,Very good experience. 
17830,4,Item good matches picture.
14277,5,Perfect design amazing value.
14523,4,Good purchase overall. 
